team_name,Liga,Temporada,xG,xAG,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Save_Porcentaje,CS_Porcentaje,Total_Cmp_Porcentaje,Total_Pases_Completados,Total_Pases_Intentados,Total_Distancia_Pases
Atalanta,ITA-Serie A,2025,16.5,11.2,258,419,80,50,84.2,5618,6675,100603
Bologna,ITA-Serie A,2025,12,9,25.1,373,73,33.3,80.4,4593,5711,90888
Cagliari,ITA-Serie A,2025,11.7,9.1,18.2,267,63.8,0,77.6,3715,4786,67212
Como,ITA-Serie A,2025,11,8.8,17,290,65.5,0,84.7,5539,6543,94119
FC Empoli,ITA-Serie A,2025,12.5,9.7,15.1,280,68.2,16.7,76.6,3905,5095,71238
Fiorentina,ITA-Serie A,2025,16,11.7,25.4,453,64.7,16.7,79,3973,5027,72415
Genoa,ITA-Serie A,2025,12.2,9,23.3,311,71.9,16.7,76,3765,4956,68607
Inter,ITA-Serie A,2025,18,14.1,28.5,459,75.9,50,71.2,3090,4339,56017
Juventus,ITA-Serie A,2025,16,12.1,29.8,425,67.9,50,84.7,6035,7126,110569
Lazio,ITA-Serie A,2025,14.4,11,24.3,411,70,33.3,84,5573,6631,99950
Lecce,ITA-Serie A,2025,9.5,8.1,14.9,284,74.4,33.3,84.1,5132,6105,87407
AC Milan,ITA-Serie A,2025,13.9,10.1,26.6,459,67.9,16.7,74.7,3492,4677,66519
Napoli,ITA-Serie A,2025,15,11.3,27.6,473,68.2,16.7,85.3,5148,6037,92612
Parma,ITA-Serie A,2025,11,8.2,20.3,313,68,16.7,84.4,5753,6816,99353
Roma,ITA-Serie A,2025,17.5,12,26.1,427,71.4,33.3,73.9,3232,4371,62519
Torino,ITA-Serie A,2025,11.3,8.6,22.1,385,73.3,33.3,74.3,3093,4164,59965
Udinese,ITA-Serie A,2025,11.2,9.5,18.4,303,73.1,16.7,81.4,5221,6413,92877
Venezia,ITA-Serie A,2025,14.5,10.5,18.5,316,68.3,0,80.3,4133,5145,72006
Hellas Verona,ITA-Serie A,2025,12.6,9.9,20.3,321,71.7,33.3,77.5,3700,4772,70645
Udinese,ITA-Serie A,2025,11.2,9.5,18.4,303,73.1,16.7,78.9,3823,4847,73313
Atalanta,ITA-Serie A,2024,59.9,42.6,84.8,1500,72.9,36.8,83.1,17454,20998,304878
Bologna,ITA-Serie A,2024,49.6,36.2,79.1,1481,71.9,36.8,81.1,15681,19336,295869
Cagliari,ITA-Serie A,2024,39.8,32.7,73.1,1148,64.9,15.8,76.5,12092,15802,219114
FC Empoli,ITA-Serie A,2024,39.3,29.5,63.3,1109,68.3,21.1,83,15917,19183,268133
Fiorentina,ITA-Serie A,2024,51.5,40.5,91.3,1629,66.8,31.6,72.5,10093,13916,186741
Frosinone,ITA-Serie A,2024,40.5,32.7,62.1,1056,68.8,10.5,81.1,14193,17510,262148
Genoa,ITA-Serie A,2024,35.8,29.5,62,1162,71.4,31.6,76.5,12025,15727,221047
Inter,ITA-Serie A,2024,72.8,51.6,108.9,1714,76.5,52.6,73.2,9854,13457,178691
Juventus,ITA-Serie A,2024,55.4,42.2,91.6,1620,81.3,42.1,85.9,19412,22592,343835
Lazio,ITA-Serie A,2024,48.9,37.1,80.3,1342,75.3,42.1,86,18259,21231,316000
Lecce,ITA-Serie A,2024,39.7,31.3,70.9,1121,70,26.3,84,16400,19521,296409
AC Milan,ITA-Serie A,2024,62.6,45.4,102.3,1858,74.4,21.1,76.2,11490,15087,225443
Monza,ITA-Serie A,2024,43.1,35.5,77.4,1409,72.9,26.3,85.5,16335,19101,290496
Napoli,ITA-Serie A,2024,53.6,41.6,98.4,1547,67.9,26.3,81.3,14248,17515,257293
Roma,ITA-Serie A,2024,61.1,47.9,87.2,1639,74.8,26.3,84.3,16894,20033,299923
Salernitana,ITA-Serie A,2024,36.9,28.5,52.1,1079,67.8,15.8,79.1,12509,15805,227371
Sassuolo,ITA-Serie A,2024,35,28.1,71.3,1342,67.5,15.8,84,17016,20265,300183
Torino,ITA-Serie A,2024,38.3,30.1,75.8,1292,78.3,47.4,79.8,13578,17008,249577
Udinese,ITA-Serie A,2024,33.1,27.2,72.8,1279,71.2,31.6,79.5,12945,16279,239290
Hellas Verona,ITA-Serie A,2024,32.1,26.8,66.2,1099,70.2,15.8,76.4,11573,15155,201752
Atalanta,ITA-Serie A,2023,61.4,45.4,77.9,1481,74.5,31.6,80.4,16051,19961,281418
Bologna,ITA-Serie A,2023,49.6,37.8,77.8,1572,79.5,42.1,85,19125,22504,315900
Cagliari,ITA-Serie A,2023,39,30.6,66.8,1083,69.8,15.8,73,10731,14709,205047
FC Empoli,ITA-Serie A,2023,38.6,28.5,61.1,1144,71,26.3,75.4,11571,15348,210427
Fiorentina,ITA-Serie A,2023,51.5,41.6,85,1756,74.3,31.6,81,16180,19975,306932
Frosinone,ITA-Serie A,2023,40.5,32.7,62.1,1056,68.8,10.5,78.3,13740,17545,226596
Genoa,ITA-Serie A,2023,35.8,29.5,62,1162,71.4,31.6,76.5,12053,15765,219285
Hellas Hellas Verona,ITA-Serie A,2023,32.1,26.8,66.2,1099,70.2,15.8,72.3,10639,14710,211949
Inter,ITA-Serie A,2023,65.4,50,97.4,1637,83.3,52.6,85.2,19136,22447,332897
Juventus,ITA-Serie A,2023,55.4,42.2,91.6,1620,81.3,42.1,81.6,14757,18079,274823
Lazio,ITA-Serie A,2023,48.9,37.1,80.3,1342,75.3,42.1,82.9,17462,21071,293219
Lecce,ITA-Serie A,2023,39.7,31.3,70.9,1121,70,26.3,76.3,11742,15397,220284
AC Milan,ITA-Serie A,2023,54.4,44.1,96.6,1799,72.8,21.1,85.1,17656,20741,304243
Monza,ITA-Serie A,2023,43.1,35.5,77.4,1409,72.9,26.3,84.2,16734,19870,310386
Napoli,ITA-Serie A,2023,53.6,41.6,98.4,1547,67.9,26.3,85.1,19517,22942,335198
Roma,ITA-Serie A,2023,61.1,47.9,87.2,1639,74.8,26.3,83.2,17066,20523,298380
Salernitana,ITA-Serie A,2023,36.9,28.5,52.1,1079,67.8,15.8,76.2,12124,15920,210672
Sassuolo,ITA-Serie A,2023,35,28.1,71.3,1342,67.5,15.8,76.4,11978,15683,221423
Torino,ITA-Serie A,2023,38.3,30.1,75.8,1292,78.3,47.4,80,14578,18229,257125
Udinese,ITA-Serie A,2023,33.1,27.2,72.8,1279,71.2,31.6,75,9976,13300,185378
Atalanta,ITA-Serie A,2022,57,44.5,90.1,1489,73.1,34.2,79.3,15462,19507,267971
Bologna,ITA-Serie A,2022,44.2,34,75.9,1341,73,28.9,81.6,16763,20552,290293
Cremonese,ITA-Serie A,2022,39.5,32.7,58,1145,68.2,10.5,72.3,10872,15041,200114
FC Empoli,ITA-Serie A,2022,32.7,27.2,54.3,988,71,21.1,78.3,13199,16862,234132
Fiorentina,ITA-Serie A,2022,51.5,40.5,91.3,1629,71.4,36.8,79.9,15373,19236,294347
Inter,ITA-Serie A,2022,65.1,50.1,106.6,1684,75.2,39.5,68.7,9481,13807,186844
Juventus,ITA-Serie A,2022,55.4,42.2,91.6,1620,77.2,44.7,83.1,17693,21281,320024
Lazio,ITA-Serie A,2022,57.8,44,85.3,1583,83,50,81.5,15226,18690,285025
Lecce,ITA-Serie A,2022,32.8,25.1,68.3,1105,73.8,21.1,83.8,18135,21629,293491
AC Milan,ITA-Serie A,2022,54.4,44.1,96.6,1799,69.8,31.6,70.2,10083,14358,188701
Monza,ITA-Serie A,2022,43.1,35.5,77.4,1409,72.9,26.3,80.8,15948,19734,289152
Napoli,ITA-Serie A,2022,62.3,47.9,108.7,1756,74,47.4,83,17198,20724,308969
Roma,ITA-Serie A,2022,56.5,44.6,89.4,1599,73.1,31.6,86.2,21086,24473,349837
Salernitana,ITA-Serie A,2022,39.7,31.3,70.9,1121,70,26.3,79.5,14171,17814,257681
Sampdoria,ITA-Serie A,2022,32.1,26.8,66.2,1099,70.2,15.8,76.7,12667,16508,223947
