team_name,Liga,Temporada,xG,xAG,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Save_Porcentaje,CS_Porcentaje,Total_Cmp_Porcentaje,Total_Pases_Completados,Total_Pases_Intentados,Total_Distancia_Pases
Arsenal,Premier League,2020,51.7,35.1,758,1760,71.3,31.6,82.7,18041,21807,306094
Aston Villa,Premier League,2020,52.5,37.4,629,1420,78,39.5,76.1,12940,16998,235952
Brighton,Premier League,2020,50.9,33.2,685,1516,68,31.6,79.4,15772,19871,283213
Burnley,Premier League,2020,39.3,27.7,389,1012,70.9,28.9,69.6,10825,15562,196816
Chelsea,Premier League,2020,62.4,41.5,895,1798,69.2,47.4,85.2,21969,25799,360450
Crystal Palace,Premier League,2020,34.1,23.6,526,1132,63.8,21.1,74.5,11627,15597,193706
Everton,Premier League,2020,45.7,30.7,604,1184,72,31.6,79.1,14792,18696,263227
Fulham,Premier League,2020,40.5,26.3,727,1354,72.9,23.7,78.9,15401,19512,270640
Leeds,Premier League,2020,55.6,41.9,811,1633,76.8,31.6,78.9,16284,20629,286488
Leicester,Premier League,2020,55.8,33.7,666,1464,66.2,28.9,80.2,17014,21216,285395
Liverpool,Premier League,2020,67.5,48.3,886,2057,72.9,31.6,83.6,21929,26226,360990
Man City,Premier League,2020,68.2,45.4,1096,2051,76,50,87.7,23819,27167,390212
Man Utd,Premier League,2020,60.1,41.6,877,1832,71.6,34.2,83.1,18800,22624,310438
Newcastle,Premier League,2020,43.4,29,467,903,69.1,18.4,73.7,10839,14709,197161
Sheff Utd,Premier League,2020,32.6,24.9,491,1196,70.9,13.2,74.7,12146,16264,207510
Southampton,Premier League,2020,41.2,25.8,626,1195,66.3,23.7,77.4,14928,19288,239028
Tottenham,Premier League,2020,53.1,35.3,633,1330,77.4,31.6,80.2,16508,20571,274912
West Brom,Premier League,2020,35.8,24.4,441,1027,71.3,15.8,69.9,9769,13978,177501
West Ham,Premier League,2020,55.4,39.6,659,1282,70.1,28.9,75.3,12725,16901,225666
Wolves,Premier League,2020,36.5,24.1,800,1283,70.4,26.3,80.9,15548,19225,275061
Arsenal,Premier League,2021,60.5,40.2,734,1655,70.7,34.2,81.5,16176,19843,280868
Aston Villa,Premier League,2021,44,34.8,653,1300,66.4,28.9,77.3,12748,16499,220973
Brentford,Premier League,2021,45.8,33,450,1189,71.5,23.7,71.8,11676,16272,211867
Brighton,Premier League,2021,46.2,32.3,676,1547,71.9,28.9,79.7,16410,20588,288827
Burnley,Premier League,2021,39.7,31.2,388,972,73,23.7,67,9454,14107,178791
Chelsea,Premier League,2021,63.4,44.9,894,1967,76.5,42.1,85.1,21190,24888,342325
Crystal Palace,Premier League,2021,46.4,31,592,1229,70.1,31.6,78.5,14983,19081,265538
Everton,Premier League,2021,41.2,28.5,512,1100,66,21.1,71.2,10366,14557,184813
Leeds,Premier League,2021,44.4,31.3,671,1483,67,13.2,76.5,13989,18288,242664
Leicester,Premier League,2021,47.8,34.2,622,1356,72.9,18.4,80.1,16129,20137,269547
Liverpool,Premier League,2021,88.7,63.5,885,2243,75.7,55.3,82.8,21163,25552,370621
Man City,Premier League,2021,88.7,65.5,1145,2421,70.6,55.3,87.5,24406,27902,412596
Man Utd,Premier League,2021,55.8,42.5,784,1568,70,21.1,80.9,16690,20641,280259
Newcastle,Premier League,2021,38.1,25.8,544,923,65.5,21.1,72.7,10201,14036,188373
Norwich,Premier League,2021,32.3,24.3,566,1031,66.2,15.8,75.7,12164,16070,217007
Southampton,Premier League,2021,44.8,32.5,728,1326,64.5,21.1,73.8,12505,16941,211003
Tottenham,Premier League,2021,61.2,47,791,1459,72.3,42.1,83.1,17204,20696,283871
Watford,Premier League,2021,40,32.5,558,1070,62.2,10.5,71.2,10423,14641,193942
West Ham,Premier League,2021,51.4,37.4,646,1449,70.3,21.1,78,14326,18378,251152
Wolves,Premier League,2021,37.5,26.4,723,1283,79.6,28.9,79.8,15253,19103,275607
Arsenal,Premier League,2022,71.6,53.5,824,2049,70.6,36.8,83.2,18281,21969,310206
Aston Villa,Premier League,2022,50.3,38.8,637,1242,72.8,31.6,79.2,13782,17396,244073
Bournemouth,Premier League,2022,38.5,28.4,504,1006,68.1,21.1,76.2,11715,15381,206704
Brentford,Premier League,2022,56.3,38.4,392,1131,77.7,31.6,72.8,11317,15551,209962
Brighton,Premier League,2022,73.3,52.2,809,1849,64.1,31.6,83.9,19210,22888,319736
Chelsea,Premier League,2022,49.5,38.6,829,1737,71.1,26.3,83.8,19147,22836,316440
Crystal Palace,Premier League,2022,39.3,29,556,1243,71.9,23.7,77.4,13395,17308,238779
Everton,Premier League,2022,45.2,32.4,500,1052,71.9,23.7,74.7,11790,15783,214056
Fulham,Premier League,2022,46.2,28.5,663,1326,76.5,23.7,77.6,13974,18014,255629
Leeds,Premier League,2022,47.3,31.8,555,1429,60.5,13.2,73.5,12437,16924,206567
Leicester,Premier League,2022,50.5,38.4,580,1304,64,18.4,78.9,14887,18871,249219
Liverpool,Premier League,2022,71.5,55.6,719,1992,71.3,36.8,82.3,20043,24361,352929
Man City,Premier League,2022,78.6,57.5,988,2073,67.4,34.2,87.3,23263,26642,396454
Man Utd,Premier League,2022,67.7,52.2,711,1595,71.1,44.7,80.9,16603,20525,276625
Newcastle,Premier League,2022,71.9,51.8,695,1618,75.6,36.8,78.1,13925,17837,246297
Nott'm Forest,Premier League,2022,39.3,26.3,436,859,65.9,21.1,70.1,9543,13606,177315
Southampton,Premier League,2022,37.8,28.1,588,1125,52.7,10.5,75.2,12319,16391,211636
Tottenham,Premier League,2022,57,43,692,1449,65.1,26.3,81.2,15972,19672,277567
West Ham,Premier League,2022,49.2,32.7,615,1274,70,23.7,75.6,12369,16357,219013
Wolves,Premier League,2022,36.8,25.4,610,1343,67.8,28.9,79.6,14554,18294,264071
Arsenal,Premier League,2023,76.1,55.3,821,2106,67.5,47.4,84.6,19094,22558,309533
Aston Villa,Premier League,2023,63.3,48.6,775,1451,65.3,21.1,83.3,16133,19363,281128
Bournemouth,Premier League,2023,55.9,40.5,709,1314,68.6,23.7,74.7,11899,15920,220978
Brentford,Premier League,2023,58.2,42.7,505,1283,65.8,18.4,74.6,12551,16818,225971
Brighton,Premier League,2023,56.8,41.6,864,1780,66.1,15.8,87.1,21810,25029,341060
Burnley,Premier League,2023,40.6,29.7,727,1181,70.5,5.3,77.6,13937,17959,246047
Chelsea,Premier League,2023,74.5,51.4,873,1615,67.7,21.1,85.8,20039,23364,328448
Crystal Palace,Premier League,2023,48.6,38.7,506,1176,64.3,26.3,77.1,12915,16754,225542
Everton,Premier League,2023,54,38.1,495,1129,73.9,34.2,73.2,11349,15514,208537
Fulham,Premier League,2023,50.8,37.6,670,1467,72.1,26.3,80.6,16311,20237,290238
Ipswich,Premier League,2023,0,0,0,0,0,0,0,0,0,0
Leeds,Premier League,2023,0,0,0,0,0,0,0,0,0,0
Leicester,Premier League,2023,0,0,0,0,0,0,0,0,0,0
Liverpool,Premier League,2023,87.8,63.7,924,2110,72.8,26.3,83.6,20376,24379,346550
Luton,Premier League,2023,42.4,29.5,675,1113,63.7,5.3,73.2,11048,15099,201475
Man City,Premier League,2023,80.5,60.2,1127,2060,71.6,34.2,88.7,24616,27758,394064
Man Utd,Premier League,2023,56.5,40.1,758,1479,74.9,23.7,80.8,15785,19538,260507
Newcastle,Premier League,2023,76,51.3,737,1557,70.3,26.3,81.2,16117,19852,274265
Norwich,Premier League,2023,0,0,0,0,0,0,0,0,0,0
Nott'm Forest,Premier League,2023,49.9,37.9,601,1141,61.3,10.5,75.8,11877,15679,210025
Sheff Utd,Premier League,2023,38.3,25.8,346,884,62.4,2.6,70.6,9531,13509,169894
Southampton,Premier League,2023,0,0,0,0,0,0,0,0,0,0
Sunderland,Premier League,2023,0,0,0,0,0,0,0,0,0,0
Tottenham,Premier League,2023,68.2,57.4,957,2107,67.7,18.4,85.3,20649,24197,326221
Watford,Premier League,2023,0,0,0,0,0,0,0,0,0,0
West Brom,Premier League,2023,0,0,0,0,0,0,0,0,0,0
West Ham,Premier League,2023,52.3,34.8,556,1207,72.6,13.2,76.8,12568,16373,219336
Wolves,Premier League,2023,46.7,31.8,671,1180,71.9,13.2,80.8,15484,19175,255933
Arsenal,Premier League,2024,59.9,45.3,852,1826,74.2,34.2,84.3,17066,20241,278808
Aston Villa,Premier League,2024,56.1,41.7,720,1344,68.6,23.7,82.6,14701,17797,252637
Bournemouth,Premier League,2024,64,43.8,754,1489,75.6,23.7,76.8,12977,16900,233955
Brentford,Premier League,2024,59,42.4,598,1356,72.9,21.1,78.1,13358,17100,245539
Brighton,Premier League,2024,58.7,40.4,816,1539,66,21.1,82.4,15820,19188,268916
Burnley,Premier League,2024,0,0,0,0,0,0,0,0,0,0
Chelsea,Premier League,2024,67.8,52.7,861,1595,75.5,28.9,84.6,18033,21320,311166
Crystal Palace,Premier League,2024,60.4,46.4,510,1158,66.7,28.9,75.4,11875,15754,213257
Everton,Premier League,2024,41.8,32.2,486,1041,73,31.6,76.3,11405,14953,215027
Fulham,Premier League,2024,49,37.5,786,1558,67.9,13.2,82,16199,19753,289508
Ipswich,Premier League,2024,34.4,24.2,513,935,63.8,5.3,78,11524,14775,204832
Leeds,Premier League,2024,0,0,0,0,0,0,0,0,0,0
Leicester,Premier League,2024,32.6,25.1,576,1082,63.2,7.9,79.7,13945,17486,234016
Liverpool,Premier League,2024,82.2,61.6,826,1924,71,36.8,84.1,18303,21758,312343
Luton,Premier League,2024,0,0,0,0,0,0,0,0,0,0
Man City,Premier League,2024,68.1,54.2,1146,1944,68.8,34.2,88.1,21531,24443,349984
Man Utd,Premier League,2024,52.6,39.7,697,1448,65.8,26.3,82.5,16837,20415,278154
