club_id,team,position,points,squad,avg_age,foreigners,avg_market_value,total_market_value,league
27,Bayern Munich,1,78,45,24.4,22,€19.07m,€858.23m,bundesliga
23826,Leipzig,2,65,32,24.1,23,€17.97m,€574.95m,bundesliga
16,Dortmund,3,64,32,25.5,17,€19.64m,€628.40m,bundesliga
82,Wolfsburg,4,61,30,26.4,20,€8.56m,€256.83m,bundesliga
24,Frankfurt,5,60,36,26.2,24,€7.48m,€269.15m,bundesliga
15,Leverkusen,6,52,33,25.6,22,€11.31m,€373.25m,bundesliga
89,Union Berlin,7,50,33,26.4,10,€2.49m,€82.05m,bundesliga
18,Mönchengladbach,8,49,33,26.2,19,€9.11m,€300.75m,bundesliga
79,Stuttgart,9,45,32,24.4,18,€5.91m,€189.25m,bundesliga
60,Freiburg,10,45,30,25.7,13,€4.64m,€139.10m,bundesliga
533,Hoffenheim,11,43,37,25.4,26,€6.17m,€228.15m,bundesliga
39,Mainz,12,39,36,25.4,18,€4.54m,€163.30m,bundesliga
167,Augsburg,13,36,31,26.4,20,€3.00m,€93.05m,bundesliga
44,Hertha BSC,14,35,38,24.9,22,€6.02m,€228.88m,bundesliga
10,Arm. Bielefeld,15,35,33,25.4,15,€1.72m,€56.73m,bundesliga
3,1.FC Köln,16,33,36,25.3,19,€3.28m,€118.20m,bundesliga
86,Werder Bremen,17,31,33,25.7,17,€3.39m,€111.98m,bundesliga
33,FC Schalke 04,18,16,45,25.3,27,€2.73m,€123.05m,bundesliga
13,Atlético,1,86,39,25.4,21,€19.82m,€773.10m,laliga
418,Real Madrid,2,84,37,25.3,17,€21.28m,€787.30m,laliga
131,Barcelona,3,79,32,25.5,20,€25.42m,€813.50m,laliga
368,Sevilla FC,4,77,38,26.2,17,€11.01m,€418.25m,laliga
681,Real Sociedad,5,62,38,25.1,5,€10.70m,€406.60m,laliga
150,Real Betis,6,61,33,27.2,12,€6.29m,€207.70m,laliga
1050,Villarreal,7,58,36,26.4,13,€8.13m,€292.60m,laliga
940,Celta de Vigo,8,53,41,24.8,12,€3.80m,€155.85m,laliga
621,Athletic Club,9,46,32,26.4,2,€6.38m,€204.15m,laliga
16795,Granada CF,10,46,44,25.3,17,€2.79m,€122.65m,laliga
331,CA Osasuna,11,44,36,27.5,6,€2.69m,€96.75m,laliga
2687,Cádiz CF,12,44,41,27.6,16,€1.16m,€47.65m,laliga
1049,Valencia,13,43,35,25.2,20,€7.97m,€278.85m,laliga
