club_id,team,position,points,squad,avg_age,foreigners,avg_market_value,total_market_value,league
27,Bayern Munich,1,31,25,26.7,12,€38.07m,€951.65m,bundesliga
23826,Leipzig,2,25,29,24.7,20,€12.63m,€366.25m,bundesliga
15,Leverkusen,3,23,26,26.0,22,€16.41m,€426.75m,bundesliga
16,Dortmund,4,22,28,26.2,15,€17.88m,€500.50m,bundesliga
79,Stuttgart,5,22,32,24.6,16,€10.61m,€339.43m,bundesliga
24,Frankfurt,6,20,28,25.7,18,€13.71m,€383.90m,bundesliga
533,Hoffenheim,7,20,33,25.1,21,€5.23m,€172.55m,bundesliga
89,Union Berlin,8,15,28,26.3,17,€4.45m,€124.70m,bundesliga
86,Werder Bremen,9,15,31,24.9,19,€5.74m,€177.80m,bundesliga
3,1.FC Köln,10,14,29,26.0,12,€3.66m,€106.28m,bundesliga
60,Freiburg,11,13,27,27.4,11,€6.03m,€162.70m,bundesliga
18,Mönchengladbach,12,12,30,25.6,15,€5.14m,€154.18m,bundesliga
167,Augsburg,13,10,29,25.5,18,€5.22m,€151.38m,bundesliga
41,Hamburg,14,9,30,25.7,24,€3.55m,€106.45m,bundesliga
82,Wolfsburg,15,8,29,25.8,22,€8.69m,€251.90m,bundesliga
35,St. Pauli,16,7,29,25.7,23,€2.21m,€64.08m,bundesliga
39,Mainz,17,6,30,26.3,14,€5.26m,€157.78m,bundesliga
2036,Heidenheim,18,5,27,26.6,5,€2.10m,€56.80m,bundesliga
418,Real Madrid,1,32,25,26.0,18,€56.04m,€1.40bn,laliga
131,Barcelona,2,31,23,25.6,10,€48.17m,€1.11bn,laliga
1050,Villarreal,3,29,27,26.3,14,€10.38m,€280.30m,laliga
13,Atlético,4,28,24,27.7,16,€25.99m,€623.80m,laliga
150,Real Betis,5,21,26,28.7,12,€8.29m,€215.50m,laliga
714,Espanyol,6,21,24,26.6,7,€4.13m,€99.00m,laliga
3709,Getafe,7,17,22,28.3,10,€3.08m,€67.80m,laliga
621,Athletic Club,8,17,27,27.1,3,€13.69m,€369.70m,laliga
681,Real Sociedad,9,16,26,26.0,9,€9.73m,€252.90m,laliga
1531,Elche CF,10,16,26,26.2,10,€3.07m,€79.90m,laliga
368,Sevilla FC,11,16,27,27.7,15,€4.71m,€127.10m,laliga
940,Celta de Vigo,12,16,28,26.3,8,€5.05m,€141.40m,laliga
367,Rayo Vallecano,13,16,25,28.8,13,€3.54m,€88.43m,laliga
1108,Alavés,14,15,23,28.2,10,€3.06m,€70.40m,laliga
1049,Valencia,15,13,23,27.3,11,€7.24m,€166.60m,laliga
237,RCD Mallorca,16,12,25,28.1,9,€3.41m,€85.20m,laliga
